"Estimate"	"Std..Error"	"t.value"	"taxon"	"stat"	"fstat"	"df1"	"df2"	"pval"	"adjP"
"1"	-0.124027904231596	0.0773518367897697	-1.60342545670485	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.beating"	2.57097319520917	1	123762	0.10884330628217	0.559809474256788
"2"	-0.0570244430564449	0.148084116303411	-0.385081428582164	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp12"	0.14828770663888	1	123762	0.700177748650699	0.92345993433614
"3"	-0.550916849101362	0.792816929550816	-0.694885324173757	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp13"	0.482865613752068	1	123762	0.487128475105792	0.854155092944019
"4"	-0.463014711562386	0.729128411983748	-0.63502492009968	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp14"	0.403256649147604	1	123762	0.525413336196866	0.876838310494682
"5"	-0.0296995467891307	0.730443404353451	-0.0406596138894828	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp2"	0.00165320420164182	1	123762	0.967567323986035	0.983966770155289
"6"	0.198476311364291	0.171382959999383	1.15808661120688	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp3"	1.34116459905664	1	123762	0.246830928003783	0.764000491440279
"7"	0.298448019416524	0.0855019110179367	3.49054209272486	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp34"	12.1838841010841	1	123762	0.000482209389149638	0.0289325633489783
"8"	0.697327152141474	0.732093690453519	0.952510807338734	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp35"	0.907276838097086	1	123762	0.340839847818909	0.786553494966713
"9"	-0.196745831580186	0.0721605165710346	-2.72650253808133	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp4"	7.43381609016393	1	123762	0.00640184699005733	0.124578698547763
"10"	-0.515222048143405	0.299127213194229	-1.72241783902443	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp45"	2.9667232121896	1	123762	0.0849963527615943	0.4857133959215
"11"	0.40858412706789	0.728750518449648	0.56066392643825	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp56"	0.314344038409155	1	123762	0.575027678226191	0.898840859752363
"12"	0.119691301249157	0.422211592541549	0.283486534627489	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"uses.amp6"	0.0803646153151024	1	123762	0.776804376483002	0.936487501787854
"13"	0.083412098929887	0.0658917788109564	1.2658953883943	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.beating"	1.60249113435796	1	123762	0.205552920553007	0.704855710435642
"14"	-0.298905025885207	0.12512663869077	-2.38882007071174	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp12"	5.70646133023524	1	123762	0.0169040668824056	0.212664067230264
"15"	-0.355425932019809	0.707681607011227	-0.502239889377499	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp13"	0.252244906481923	1	123762	0.61549968039216	0.911068614806872
"16"	0.583451952395943	0.619014259169251	0.942550100831224	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp14"	0.888400692576951	1	123762	0.345912913110543	0.788842948774129
"17"	-0.811570995641966	0.619717772593103	-1.30958160558489	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp2"	1.71500398168629	1	123762	0.190339845511023	0.682854588951939
"18"	0.282342464417002	0.145405979148053	1.94175278122174	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp3"	3.77040386338237	1	123762	0.052169301917558	0.383034435791589
"19"	0.0524298879871352	0.0737863131532679	0.710563866746243	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp34"	0.504901008725373	1	123762	0.477355879767527	0.84814939913137
"20"	-0.514413817261308	0.624030471597707	-0.824340862625271	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp35"	0.679537857793775	1	123762	0.409747495194482	0.817910772009729
"21"	0.133005473731393	0.0616023085331162	2.15909885357448	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp4"	4.66170785950665	1	123762	0.0308444138962967	0.298732119815014
"22"	0.0605860157612821	0.255335984180749	0.237279582647443	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp45"	0.0563016003413445	1	123762	0.812440293301851	0.943068831518871
"23"	-1.13428318631815	0.616406364675046	-1.84015489021778	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp56"	3.38617001999241	1	123762	0.0657478935253743	0.423829396279272
"24"	-0.166416650455458	0.358620500291787	-0.464046674186377	"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"uses.amp6"	0.215339315823437	1	123762	0.642615122212712	0.917864349337355
"25"	-0.179797239120413	0.0790360110710945	-2.27487744742939	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium"	"uses.beating"	5.17506740082287	1	123762	0.0229149853205389	0.249864160926525
"26"	-0.0629288579141191	0.151804896335099	-0.414537735167698	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium"	"uses.amp12"	0.171841533877964	1	123762	0.678481055899176	0.922192655761694
"27"	0.0331102722794562	0.801437719785869	0.0413135936355762	"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium"	"uses.amp13"	0.00170681301908552	1	123762	0.967045962812133	0.983966770155289
